D & B Used Cars|111 Old Benbrook Rd|817-555-5555
37846|2001|Ford|Ranger|TRUCK|Yellow|172544|1995.00
23444|2003|honda|crv|SUV|blue|19933|23458.00
34781|2015|Toyota|Camry|SEDAN|White|45321|12995.00
34822|2017|Chevrolet|Tahoe|SUV|Black|67890|23999.00
34900|2020|Tesla|Model 3|SEDAN|Red|15300|34999.00
35012|2016|Jeep|Wrangler|SUV|Green|42100|27950.00
35045|2018|Ford|F-150|TRUCK|Silver|38888|31999.00
35167|2019|BMW|X5|SUV|Gray|29000|41900.00
35200|2022|Subaru|Outback|WAGON|Blue|7500|28900.00
35289|2013|Nissan|Altima|SEDAN|Maroon|84999|8499.00
35320|2014|Hyundai|Elantra|SEDAN|Gold|76400|7450.00
35395|2021|Mazda|CX-5|SUV|White|23000|26499.00
35410|2012|Kia|Sorento|SUV|Silver|99200|6250.00
35433|2016|Chevrolet|Malibu|SEDAN|Blue|61000|10999.00
35458|2011|Ram|1500|TRUCK|Red|112345|8995.00
35480|2018|Volkswagen|Jetta|SEDAN|Black|45300|13450.00
35500|2019|Toyota|RAV4|SUV|White|38210|22499.00
